method,seed,runtime_sec,mse,tp,fp,fn,tn,precision,recall,f1,mcc,inferred_constraints
MOCI,0,3.382727861404419,0.015625,4,0,1,59,1.0,0.8,0.888888888888889,0.8869423130433379,"[12, 17, 38, 43]"
MOCI,1,3.4861061573028564,0.015625,4,0,1,59,1.0,0.8,0.888888888888889,0.8869423130433379,"[12, 17, 38, 43]"
MOCI,2,3.287039041519165,0.015625,4,0,1,59,1.0,0.8,0.888888888888889,0.8869423130433379,"[12, 17, 38, 43]"
MOCI,3,3.4315850734710693,0.015625,4,0,1,59,1.0,0.8,0.888888888888889,0.8869423130433379,"[12, 17, 38, 43]"
MOCI,4,3.7470290660858154,0.015625,4,0,1,59,1.0,0.8,0.888888888888889,0.8869423130433379,"[12, 17, 38, 43]"
MOCI,5,3.469392776489258,0.015625,4,0,1,59,1.0,0.8,0.888888888888889,0.8869423130433379,"[12, 17, 38, 43]"
MOCI,6,3.690446138381958,0.015625,4,0,1,59,1.0,0.8,0.888888888888889,0.8869423130433379,"[12, 17, 38, 43]"
MOCI,7,3.3929390907287598,0.015625,4,0,1,59,1.0,0.8,0.888888888888889,0.8869423130433379,"[12, 17, 38, 43]"
MOCI,8,3.338013172149658,0.015625,4,0,1,59,1.0,0.8,0.888888888888889,0.8869423130433379,"[12, 17, 38, 43]"
MOCI,9,3.545380115509033,0.015625,4,0,1,59,1.0,0.8,0.888888888888889,0.8869423130433379,"[12, 17, 38, 43]"
MOCI,10,3.9869072437286377,0.015625,4,0,1,59,1.0,0.8,0.888888888888889,0.8869423130433379,"[12, 17, 38, 43]"
MOCI,11,3.551658868789673,0.015625,4,0,1,59,1.0,0.8,0.888888888888889,0.8869423130433379,"[12, 17, 38, 43]"
MOCI,12,3.5910987854003906,0.015625,4,0,1,59,1.0,0.8,0.888888888888889,0.8869423130433379,"[12, 17, 38, 43]"
MOCI,13,3.5545310974121094,0.015625,4,0,1,59,1.0,0.8,0.888888888888889,0.8869423130433379,"[12, 17, 38, 43]"
MOCI,14,3.3987090587615967,0.015625,4,0,1,59,1.0,0.8,0.888888888888889,0.8869423130433379,"[12, 17, 38, 43]"
MLCI,0,0.1699810028076172,0.03125,5,2,0,57,0.7142857142857143,1.0,0.8333333333333333,0.8307061088165788,"[6, 7, 12, 17, 38, 42, 43]"
MLCI,1,0.37576794624328613,0.09375,5,6,0,53,0.45454545454545453,1.0,0.625,0.6389996033381052,"[6, 7, 12, 17, 38, 42, 43, 56, 57, 58, 59]"
MLCI,2,0.17139673233032227,0.03125,5,2,0,57,0.7142857142857143,1.0,0.8333333333333333,0.8307061088165788,"[7, 12, 17, 38, 42, 43, 56]"
MLCI,3,0.21843910217285156,0.0625,4,3,1,56,0.5714285714285714,0.8,0.6666666666666666,0.6441615791174172,"[13, 14, 17, 38, 42, 43, 56]"
MLCI,4,0.43813610076904297,0.078125,5,5,0,54,0.5,1.0,0.6666666666666666,0.6764814252025461,"[12, 14, 15, 17, 38, 42, 43, 48, 56, 57]"
MLCI,5,0.35106730461120605,0.078125,5,5,0,54,0.5,1.0,0.6666666666666666,0.6764814252025461,"[12, 17, 38, 42, 43, 48, 56, 57, 58, 59]"
MLCI,6,0.5513260364532471,0.078125,5,5,0,54,0.5,1.0,0.6666666666666666,0.6764814252025461,"[12, 13, 14, 15, 17, 23, 38, 42, 43, 56]"
MLCI,7,0.21498894691467285,0.0625,4,3,1,56,0.5714285714285714,0.8,0.6666666666666666,0.6441615791174172,"[7, 13, 17, 38, 42, 43, 56]"
MLCI,8,0.22629690170288086,0.0625,4,3,1,56,0.5714285714285714,0.8,0.6666666666666666,0.6441615791174172,"[7, 13, 15, 17, 38, 42, 43]"
MLCI,9,0.3174607753753662,0.046875,5,3,0,56,0.625,1.0,0.7692307692307693,0.7702079842374077,"[12, 14, 15, 17, 38, 42, 43, 56]"
MLCI,10,0.6364669799804688,0.09375,5,6,0,53,0.45454545454545453,1.0,0.625,0.6389996033381052,"[6, 7, 12, 13, 15, 17, 38, 42, 43, 57, 58]"
MLCI,11,0.40757107734680176,0.046875,5,3,0,56,0.625,1.0,0.7692307692307693,0.7702079842374077,"[12, 13, 14, 15, 17, 38, 42, 43]"
MLCI,12,0.4427609443664551,0.125,4,7,1,52,0.36363636363636365,0.8,0.5000000000000001,0.48467517083380807,"[7, 13, 15, 17, 38, 42, 43, 48, 56, 57, 58]"
MLCI,13,0.4371969699859619,0.078125,5,5,0,54,0.5,1.0,0.6666666666666666,0.6764814252025461,"[12, 14, 15, 17, 38, 42, 43, 56, 57, 58]"
MLCI,14,0.21727395057678223,0.046875,5,3,0,56,0.625,1.0,0.7692307692307693,0.7702079842374077,"[6, 7, 12, 15, 17, 38, 42, 43]"
ICRL,0,16.90413475036621,0.359375,5,23,0,36,0.17857142857142858,1.0,0.30303030303030304,0.3300891361017462,"[0, 1, 2, 4, 5, 6, 7, 9, 10, 11, 12, 14, 16, 17, 25, 33, 34, 35, 37, 38, 40, 41, 42, 43, 46, 48, 50, 51]"
ICRL,1,17.46622109413147,0.390625,5,25,0,34,0.16666666666666666,1.0,0.2857142857142857,0.30991159665316337,"[0, 1, 2, 3, 4, 5, 6, 7, 9, 11, 12, 16, 17, 18, 30, 34, 35, 37, 38, 40, 41, 42, 43, 46, 48, 50, 51, 54, 56, 57]"
