K,metric,mean,std
1,avg_log_likelihood,-166.69644114402638,0.011305102086406175
1,cmse,0.015625,0.0
1,precision,1.0,0.0
1,recall,0.7999999999999998,2.220446049250313e-16
1,f1,0.8888888888888888,1.1102230246251565e-16
1,fpr,0.0,0.0
2,avg_log_likelihood,-166.6453672778525,0.038883633445268156
2,cmse,0.015,0.003061862178478973
2,precision,1.0,0.0
2,recall,0.8079999999999998,0.03919183588453083
2,f1,0.8933333333333333,0.02177324215807268
2,fpr,0.0,0.0
3,avg_log_likelihood,-166.65619217623603,0.04409859535657826
3,cmse,0.0140625,0.0046875
3,precision,1.0,0.0
3,recall,0.8199999999999998,0.05999999999999999
3,f1,0.9,0.03333333333333331
3,fpr,0.0,0.0
