state_id,action,eligibility_infeasible,inferred_infeasible,infeasible_rate,clinical_reason
1,Targeted,True,True,1.0,EGFR/ALK not eligible
1,Surgery,True,False,1.0,allowed
2,Targeted,True,True,1.0,EGFR/ALK not eligible
2,Surgery,True,True,1.0,not first-line month
3,Targeted,True,True,1.0,EGFR/ALK not eligible
3,Surgery,True,True,1.0,not first-line month
4,Targeted,True,True,1.0,EGFR/ALK not eligible
4,Surgery,True,True,1.0,not first-line month
5,Targeted,True,True,1.0,EGFR/ALK not eligible
5,Surgery,True,True,1.0,not first-line month
6,Targeted,True,False,1.0,allowed
6,Immuno,True,False,1.0,allowed
6,Chemo,True,False,1.0,ECOG/perf_status > 2
6,Surgery,True,True,1.0,ECOG/perf_status > 2
7,Targeted,True,False,1.0,allowed
7,Immuno,True,False,1.0,allowed
7,Chemo,True,False,1.0,ECOG/perf_status > 2
7,Surgery,True,True,1.0,not first-line month
8,Targeted,True,False,1.0,allowed
8,Immuno,True,False,1.0,allowed
8,Chemo,True,False,1.0,ECOG/perf_status > 2
8,Surgery,True,True,1.0,not first-line month
9,Targeted,True,False,1.0,allowed
9,Immuno,True,False,1.0,allowed
9,Chemo,True,False,1.0,ECOG/perf_status > 2
9,Surgery,True,True,1.0,not first-line month
10,Targeted,True,False,1.0,allowed
10,Immuno,True,False,1.0,allowed
10,Chemo,True,False,1.0,ECOG/perf_status > 2
10,Surgery,True,True,1.0,not first-line month
11,Targeted,True,True,1.0,EGFR/ALK not eligible
11,Immuno,True,True,1.0,PD-L1 < 1%
11,Chemo,True,False,1.0,ECOG/perf_status > 2
11,Surgery,True,True,1.0,ECOG/perf_status > 2
12,Targeted,True,True,1.0,EGFR/ALK not eligible
12,Immuno,True,True,1.0,PD-L1 < 1%
12,Chemo,True,False,1.0,ECOG/perf_status > 2
12,Surgery,True,True,1.0,not first-line month
13,Targeted,True,True,1.0,EGFR/ALK not eligible
13,Immuno,True,False,1.0,PD-L1 < 1%
13,Chemo,True,True,1.0,ECOG/perf_status > 2
13,Surgery,True,True,1.0,not first-line month
14,Targeted,True,True,1.0,EGFR/ALK not eligible
14,Immuno,True,True,1.0,PD-L1 < 1%
14,Chemo,True,False,1.0,ECOG/perf_status > 2
14,Surgery,True,True,1.0,not first-line month
15,Targeted,True,True,1.0,EGFR/ALK not eligible
15,Immuno,True,True,1.0,PD-L1 < 1%
15,Chemo,True,False,1.0,ECOG/perf_status > 2
15,Surgery,True,True,1.0,not first-line month
16,Immuno,True,True,1.0,PD-L1 < 1%
16,Surgery,True,False,1.0,allowed
17,Immuno,True,True,1.0,PD-L1 < 1%
17,Surgery,True,True,1.0,not first-line month
18,Immuno,True,True,1.0,PD-L1 < 1%
18,Surgery,True,True,1.0,not first-line month
19,Immuno,True,True,1.0,PD-L1 < 1%
19,Surgery,True,True,1.0,not first-line month
20,Immuno,True,True,1.0,PD-L1 < 1%
20,Surgery,True,True,1.0,not first-line month
21,Immuno,True,True,1.0,PD-L1 < 1%
21,Surgery,True,False,1.0,allowed
