restart,lambda,n_constraints,tpr,fpr,precision
0,1e-05,382,0.44941176470588234,0.0,1.0
0,0.05,382,0.44941176470588234,0.0,1.0
0,0.25,382,0.44941176470588234,0.0,1.0
0,0.5,382,0.44941176470588234,0.0,1.0
0,1.0,382,0.44941176470588234,0.0,1.0
0,1.7,382,0.44941176470588234,0.0,1.0
0,3.0,379,0.44588235294117645,0.0,1.0
0,5.0,379,0.44588235294117645,0.0,1.0
0,10.0,202,0.2376470588235294,0.0,1.0
1,1e-05,400,0.46705882352941175,0.006607929515418502,0.9925
1,0.05,399,0.46588235294117647,0.006607929515418502,0.9924812030075187
1,0.25,399,0.46588235294117647,0.006607929515418502,0.9924812030075187
1,0.5,399,0.46588235294117647,0.006607929515418502,0.9924812030075187
1,1.0,399,0.46588235294117647,0.006607929515418502,0.9924812030075187
1,1.7,399,0.46588235294117647,0.006607929515418502,0.9924812030075187
1,3.0,76,0.08588235294117647,0.006607929515418502,0.9605263157894737
1,5.0,76,0.08588235294117647,0.006607929515418502,0.9605263157894737
1,10.0,48,0.052941176470588235,0.006607929515418502,0.9375
2,1e-05,438,0.5152941176470588,0.0,1.0
2,0.05,438,0.5152941176470588,0.0,1.0
2,0.25,438,0.5152941176470588,0.0,1.0
2,0.5,438,0.5152941176470588,0.0,1.0
2,1.0,436,0.5129411764705882,0.0,1.0
2,1.7,409,0.4811764705882353,0.0,1.0
2,3.0,409,0.4811764705882353,0.0,1.0
2,5.0,409,0.4811764705882353,0.0,1.0
2,10.0,409,0.4811764705882353,0.0,1.0
3,1e-05,376,0.4423529411764706,0.0,1.0
3,0.05,376,0.4423529411764706,0.0,1.0
3,0.25,375,0.4411764705882353,0.0,1.0
3,0.5,367,0.43176470588235294,0.0,1.0
3,1.0,367,0.43176470588235294,0.0,1.0
3,1.7,367,0.43176470588235294,0.0,1.0
3,3.0,359,0.4223529411764706,0.0,1.0
3,5.0,359,0.4223529411764706,0.0,1.0
3,10.0,0,0.0,0.0,0.0
4,1e-05,426,0.4976470588235294,0.006607929515418502,0.9929577464788732
4,0.05,426,0.4976470588235294,0.006607929515418502,0.9929577464788732
4,0.25,425,0.4964705882352941,0.006607929515418502,0.9929411764705882
4,0.5,425,0.4964705882352941,0.006607929515418502,0.9929411764705882
4,1.0,425,0.4964705882352941,0.006607929515418502,0.9929411764705882
4,1.7,425,0.4964705882352941,0.006607929515418502,0.9929411764705882
4,3.0,420,0.49058823529411766,0.006607929515418502,0.9928571428571429
4,5.0,420,0.49058823529411766,0.006607929515418502,0.9928571428571429
4,10.0,318,0.37058823529411766,0.006607929515418502,0.9905660377358491
5,1e-05,353,0.4152941176470588,0.0,1.0
5,0.05,353,0.4152941176470588,0.0,1.0
5,0.25,353,0.4152941176470588,0.0,1.0
5,0.5,353,0.4152941176470588,0.0,1.0
5,1.0,353,0.4152941176470588,0.0,1.0
5,1.7,351,0.41294117647058826,0.0,1.0
5,3.0,348,0.40941176470588236,0.0,1.0
5,5.0,139,0.1635294117647059,0.0,1.0
5,10.0,34,0.04,0.0,1.0
